"Date","Delta","Events"
"2016-03-26 17:02:37.808862","1","1"
"2016-03-26 19:01:51.021974","1","1"
"2016-03-27 00:55:31.432172","1","1"
"2016-03-27 07:36:32.776685","1","1"
"2016-03-27 09:20:46.241956","1","1"
"2016-03-27 17:23:45.278826","1","1"
"2016-03-28 01:25:34.700536","1","1"
"2016-03-29 00:29:23.180388","1","1"
"2016-03-29 15:18:44.612304","1","1"
"2016-03-29 23:23:42.078618","1","1"
"2016-03-30 11:19:11.389076","1","1"
"2016-03-30 20:41:03.781331","1","1"
"2016-03-30 23:08:57.253198","2","2"
"2016-03-31 03:39:09.690404","2","2"
"2016-03-31 09:37:12.140115","1","1"
"2016-03-31 10:44:53.880054","1","1"
"2016-03-31 21:41:58.856681","1","1"
"2016-04-01 09:27:54.886268","1","1"
"2016-04-01 16:04:31.193075","1","1"
"2016-04-01 22:49:13.691664","1","1"
"2016-04-02 03:42:14.404560","1","1"
"2016-04-03 11:54:27.407467","1","1"
"2016-04-03 17:00:43.646186","1","1"
"2016-04-03 20:15:32.760195","1","1"
"2016-04-04 03:33:05.294988","1","1"
"2016-04-04 07:58:29.298528","1","1"
"2016-04-05 01:19:23.694895","1","1"
"2016-04-05 10:58:20.367905","1","1"
"2016-04-05 15:06:12.429204","1","1"
"2016-04-05 18:43:14.478498","1","1"
"2016-04-06 02:02:09.638901","1","1"
"2016-04-06 19:13:34.770403","1","1"
"2016-04-07 15:31:28.751886","1","1"
"2016-04-08 01:54:29.536031","1","1"
"2016-04-08 09:58:13.995878","1","1"
"2016-04-08 15:49:09.179452","1","1"
"2016-04-09 08:40:06.144434","1","1"
"2016-04-09 17:22:19.587840","1","1"
"2016-04-09 18:46:50.649167","1","1"
"2016-04-10 00:05:16.680099","1","1"
"2016-04-10 04:20:25.328406","1","1"
"2016-04-10 06:21:37.890346","1","1"
"2016-04-10 12:27:52.501936","1","1"
"2016-04-11 04:46:43.025917","1","1"
"2016-04-11 09:36:57.442711","1","1"
"2016-04-11 15:23:48.078942","1","1"
"2016-04-11 17:12:47.663549","1","1"
"2016-04-12 11:43:01.386501","1","1"
"2016-04-13 02:08:02.530144","1","1"
"2016-04-13 07:17:43.304222","1","1"
"2016-04-13 08:49:55.279949","1","1"
"2016-04-13 20:21:18.356482","1","1"
"2016-04-14 16:15:21.795247","1","1"
"2016-04-15 01:06:06.135246","1","1"
"2016-04-15 06:05:19.276831","1","1"
"2016-04-15 21:51:16.202289","1","1"
"2016-04-16 13:03:37.104780","1","1"
"2016-04-16 14:08:52.754082","2","2"
"2016-04-17 17:33:44.053771","1","1"
"2016-04-17 23:28:16.125016","1","1"
"2016-04-18 02:37:49.206787","1","1"
"2016-04-18 10:47:16.617406","1","1"
"2016-04-18 23:09:36.747657","1","1"
"2016-04-20 00:13:29.020016","1","1"
"2016-04-20 11:34:18.108705","1","1"
"2016-04-20 14:46:03.160804","1","1"
"2016-04-20 16:31:06.461057","1","1"
"2016-04-20 19:17:30.645178","1","1"
"2016-04-20 21:42:02.652332","1","1"
"2016-04-21 01:00:39.191362","1","1"
"2016-04-21 03:51:54.037656","1","1"
"2016-04-21 11:18:44.800288","1","1"
"2016-04-21 14:05:43.796250","1","1"
"2016-04-21 15:38:39.074982","3","3"
"2016-04-21 16:46:20.679418","1","1"
"2016-04-21 18:01:31.910715","-1","1"
"2016-04-22 03:12:55.761056","1","1"
"2016-04-22 10:17:26.191092","1","1"
"2016-04-22 11:52:11.892166","1","1"
"2016-04-22 18:58:53.860638","1","1"
"2016-04-22 20:08:52.238170","1","1"
"2016-04-22 22:28:29.502959","1","1"
"2016-04-23 17:15:41.732408","1","5"
"2016-04-23 18:17:57.965908","2","2"
"2016-04-23 19:42:26.093261","1","1"
"2016-04-23 23:48:58.594835","1","1"
"2016-04-24 00:58:42.351760","1","1"
"2016-04-24 02:00:48.213520","2","2"
"2016-04-24 03:15:29.357450","1","1"
"2016-04-24 04:46:51.042354","1","1"
"2016-04-24 05:59:30.004173","2","2"
"2016-04-24 11:43:02.967349","2","2"
"2016-04-24 14:02:44.458426","1","1"
"2016-04-24 17:03:27.101699","4","4"
"2016-04-24 20:01:50.813805","1","1"
"2016-04-24 22:40:07.000863","1","1"
"2016-04-25 01:06:04.028675","0","2"
"2016-04-25 04:04:22.574440","3","3"
"2016-04-25 05:49:29.601935","1","1"
"2016-04-25 08:00:19.984079","1","1"
"2016-04-25 09:42:51.335239","1","1"
"2016-04-25 10:52:57.871726","1","1"
"2016-04-25 11:57:17.162787","1","1"
"2016-04-25 14:36:22.058313","1","1"
"2016-04-25 15:49:32.334569","1","1"
"2016-04-25 19:51:36.845816","1","1"
"2016-04-26 01:38:00.305624","1","1"
"2016-04-26 03:05:11.745700","1","1"
"2016-04-26 06:45:07.612046","1","1"
"2016-04-26 10:42:36.142951","1","1"
"2016-04-26 23:28:39.149001","3","3"
"2016-04-27 02:08:07.974717","1","1"
"2016-04-27 03:32:25.804433","1","1"
"2016-04-27 10:11:47.893816","1","1"
"2016-04-27 12:14:37.760608","1","1"
"2016-04-28 02:16:48.821782","1","1"
"2016-04-28 09:15:24.119937","1","1"
"2016-04-28 23:18:38.831066","-1","1"
"2016-04-29 02:55:47.872983","2","2"
"2016-04-29 05:40:23.708521","1","1"
"2016-04-29 15:23:07.397020","1","1"
"2016-04-29 23:47:44.267196","1","1"
"2016-04-30 05:44:25.254914","1","1"
"2016-04-30 11:16:24.956037","1","1"
"2016-04-30 13:27:03.998281","1","1"
"2016-04-30 14:49:31.123789","1","1"
"2016-04-30 18:21:14.530248","1","1"
"2016-04-30 19:24:00.241498","2","2"
"2016-04-30 20:24:26.939006","4","4"
"2016-04-30 21:28:58.274034","4","4"
"2016-04-30 22:59:09.818392","3","3"
"2016-05-01 04:54:24.252660","1","3"
"2016-05-01 05:56:50.121705","1","1"
"2016-05-01 07:13:18.169094","2","2"
"2016-05-01 13:14:47.078545","3","3"
"2016-05-01 16:37:28.963202","2","2"
"2016-05-01 18:18:42.179493","4","4"
"2016-05-01 20:24:38.811485","1","1"
"2016-05-01 21:33:06.559516","1","1"
"2016-05-01 22:41:01.558550","2","4"
"2016-05-02 03:16:01.200656","3","3"
"2016-05-02 06:22:47.649714","1","1"
"2016-05-02 07:42:43.919847","1","1"
"2016-05-02 12:34:16.443968","2","4"
"2016-05-02 14:13:00.523010","2","2"
"2016-05-02 15:27:53.548842","1","1"
"2016-05-02 16:48:14.001135","2","2"
"2016-05-02 18:26:40.543538","2","2"
"2016-05-02 23:33:38.641174","3","3"
"2016-05-03 11:15:58.311249","-1","1"
